"","tag","freq","prop","pct"
"1","tree",35856,0.383601506333447,1
"2","sky",28611,0.306091663813762,0.999800239712345
"3","plant",19215,0.205569582334817,0.99960047942469
"4","water",17703,0.189393615200274,0.999400719137036
"5","grass",14509,0.155222954467648,0.999200958849381
"6","nature",11735,0.125545617939062,0.999001198561726
"7","fun",11016,0.117853474837384,0.998801438274071
"8","cloud",9751,0.104320010270455,0.998601677986416
"9","house",8814,0.094295617939062,0.998401917698762
"10","recreation",8077,0.0864109038000685,0.998202157411107
"11","vehicle",8072,0.0863574118452585,0.998002397123452
"12","wilderness",7948,0.0850308113659706,0.997802636835797
"13","leaf",7514,0.0803877096884629,0.997602876548142
"14","winter",7425,0.0794355528928449,0.997403116260487
"15","snow",6580,0.0703954125299555,0.997203355972833
"16","mountain",6262,0.0669933242040397,0.997003595685178
"17","vegetation",6219,0.0665332933926737,0.996803835397523
"18","reflection",6139,0.0656774221157138,0.996604075109868
"19","nature reserve",6092,0.0651745977404998,0.996404314822213
"20","ecosystem",5746,0.0614729544676481,0.996204554534559
"21","car",5719,0.0611840979116741,0.996004794246904
"22","woody plant",5363,0.0573754707292023,0.995805033959249
"23","home",5293,0.0566265833618624,0.995605273671594
"24","lake",5222,0.0558669976035604,0.995405513383939
"25","body of water",5117,0.0547436665525505,0.995205753096284
"26","river",4921,0.0526467819239986,0.99500599280863
"27","sea",4904,0.0524649092776446,0.994806232520975
"28","girl",4715,0.0504429133858268,0.99460647223332
"29","road",4669,0.0499507874015748,0.994406711945665
"30","wood",4666,0.0499186922286888,0.99420695165801
"31","highland",4583,0.0490307257788429,0.994007191370356
"32","path",4425,0.047340380006847,0.993807431082701
"33","mountainous landforms",4384,0.046901745977405,0.993607670795046
"34","vacation",4179,0.0447085758301951,0.993407910507391
"35","forest",4177,0.0446871790482711,0.993208150219736
"36","flora",4171,0.0446229887024991,0.993008389932082
"37","fauna",4132,0.0442057514549812,0.992808629644427
"38","freezing",4087,0.0437243238616912,0.992608869356772
"39","rock",4075,0.0435959431701472,0.992409109069117
"40","woodland",4006,0.0428577541937693,0.992209348781462
"41","loch",3870,0.0414027730229374,0.992009588493807
"42","flower",3710,0.0396910304690175,0.991809828206153
"43","horizon",3689,0.0394663642588155,0.991610067918498
"44","motor vehicle",3623,0.0387602704553235,0.991410307630843
"45","atmosphere",3561,0.0380969702156796,0.991210547343188
"46","transport",3513,0.0375834474495036,0.991010787055533
"47","child",3414,0.0365243067442657,0.990811026767879
"48","waterway",3378,0.0361391646696337,0.990611266480224
"49","shore",3200,0.0342348510783978,0.990411506192569
"50","event",3159,0.0337962170489558,0.990211745904914
"51","landscape",3106,0.0332292023279699,0.989912105473432
"52","rural area",3106,0.0332292023279699,0.989912105473432
"53","morning",3054,0.0326728859979459,0.98961246504195
"54","property",2977,0.031849109893872,0.989412704754295
"55","atmosphere of earth",2948,0.031538856555974,0.98921294446664
"56","geological phenomenon",2941,0.03146396781924,0.989013184178985
"57","hill",2933,0.031378380691544,0.98881342389133
"58","building",2930,0.031346285518658,0.988613663603676
"59","field",2901,0.03103603218076,0.988413903316021
"60","coast",2775,0.0296880349195481,0.988214143028366
"61","leisure",2709,0.0289819411160561,0.988014382740711
"62","window",2690,0.0287786716877782,0.987814622453056
"63","organism",2688,0.0287572749058542,0.987614862165402
"64","mountain range",2672,0.0285861006504622,0.987415101877747
"65","insect",2669,0.0285540054775762,0.987215341590092
"66","product",2649,0.0283400376583362,0.987015581302437
"67","branch",2644,0.0282865457035262,0.986815821014782
"68","real estate",2564,0.0274306744265662,0.986616060727127
"69","green",2542,0.0271953098254023,0.986416300439473
"70","invertebrate",2518,0.0269385484423143,0.986216540151818
"71","water resources",2493,0.0266710886682643,0.986016779864163
"72","grassland",2491,0.0266496918863403,0.985817019576508
"73","wildlife",2470,0.0264250256761383,0.985617259288853
"74","ridge",2446,0.0261682642930503,0.985417499001199
"75","cottage",2428,0.0259756932557343,0.985217738713544
"76","smile",2357,0.0252161074974324,0.985017978425889
"77","infrastructure",2301,0.0246169976035604,0.984818218138234
"78","night",2271,0.0242960458747004,0.984618457850579
"79","autumn",2141,0.0229052550496405,0.984418697562924
"80","furniture",2126,0.0227447791852105,0.98421893727527
"81","reservoir",2103,0.0224987161930846,0.984019176987615
"82","darkness",2089,0.0223489387196166,0.98381941669996
"83","bird",2040,0.0218247175624786,0.983619656412305
"84","watercourse",2016,0.0215679561793906,0.98341989612465
"85","black and white",2009,0.0214930674426566,0.983220135836996
"86","mode of transport",1938,0.0207334816843547,0.983020375549341
"87","vertebrate",1912,0.0204553235193427,0.982820615261686
"88","sports",1902,0.0203483396097227,0.982620854974031
"89","stream",1852,0.0198134200616227,0.982421094686376
"90","phenomenon",1850,0.0197920232796987,0.982221334398722
"91","residential area",1846,0.0197492297158507,0.982021574111067
"92","soil",1820,0.0194710715508388,0.981821813823412
"93","meadow",1806,0.0193212940773708,0.981622053535757
"94","trail",1752,0.0187435809654228,0.981422293248102
"95","light",1750,0.0187221841834988,0.981222532960447
"96","boat",1732,0.0185296131461828,0.981022772672793
"97","room",1722,0.0184226292365628,0.980823012385138
"98","outdoor structure",1719,0.0183905340636768,0.980623252097483
"99","beak",1708,0.0182728517630948,0.980423491809828
"100","evening",1694,0.0181230742896268,0.980223731522173
"101","outdoor recreation",1676,0.0179305032523109,0.980023971234519
"102","interior design",1667,0.0178342177336529,0.979824210946864
"103","food",1663,0.0177914241698049,0.979624450659209
"104","ice",1660,0.0177593289969189,0.979424690371554
"105","lane",1649,0.0176416466963369,0.979224930083899
"106","ocean",1643,0.0175774563505649,0.979025169796245
"107","land vehicle",1641,0.0175560595686409,0.97882540950859
"108","garden",1636,0.0175025676138309,0.978625649220935
"109","spring",1624,0.0173741869222869,0.97842588893328
"110","table",1623,0.0173634885313249,0.978226128645625
"111","photography",1619,0.0173206949674769,0.97802636835797
"112","facade",1609,0.0172137110578569,0.977826608070316
"113","lawn",1607,0.0171923142759329,0.977626847782661
"114","architecture",1606,0.0171816158849709,0.977327207351179
"115","yellow",1606,0.0171816158849709,0.977327207351179
"116","team sport",1589,0.0169997432386169,0.977027566919696
"117","pollinator",1586,0.0169676480657309,0.976827806632041
"118","sunset",1577,0.0168713625470729,0.976628046344387
"119","dog like mammal",1557,0.0166573947278329,0.976428286056732
"120","track",1554,0.0166252995549469,0.976228525769077
"121","macro photography",1547,0.0165504108182129,0.976028765481422
"122","tourism",1539,0.0164648236905169,0.975829005193767
"123","dawn",1526,0.016325744608011,0.975629244906113
"124","font",1507,0.016122475179733,0.975429484618458
"125","grass family",1501,0.016058284833961,0.975229724330803
"126","mammal",1500,0.016047586442999,0.975029964043148
"127","monochrome photography",1495,0.015994094488189,0.974830203755493
"128","sitting",1489,0.015929904142417,0.974630443467839
"129","people",1474,0.015769428277987,0.974430683180184
"130","automotive exterior",1470,0.015726634714139,0.974131042748702
"131","flowering plant",1470,0.015726634714139,0.974131042748702
"132","arthropod",1467,0.015694539541253,0.973831402317219
"133","snout",1461,0.015630349195481,0.973631642029565
"134","rail transport",1458,0.015598254022595,0.97343188174191
"135","dog",1456,0.015576857240671,0.973232121454255
"136","coastal and oceanic landforms",1432,0.015320095857583,0.9730323611666
"137","toddler",1430,0.015298699075659,0.972832600878945
"138","blue",1429,0.015288000684697,0.97263284059129
"139","flooring",1427,0.015266603902773,0.972433080303636
"140","asphalt",1417,0.015159619993153,0.972233320015981
"141","pasture",1390,0.014870763437179,0.972033559728326
"142","wetland",1378,0.0147423827456351,0.971833799440671
"143","floor",1349,0.0144321294077371,0.971634039153016
"144","moths and butterflies",1340,0.0143358438890791,0.971434278865362
"145","bank",1325,0.0141753680246491,0.971234518577707
"146","play",1316,0.0140790825059911,0.971034758290052
"147","wall",1302,0.0139293050325231,0.970834998002397
"148","ball game",1300,0.0139079082505991,0.970635237714742
"149","automotive design",1285,0.0137474323861691,0.970435477427087
"150","estate",1282,0.0137153372132831,0.970235717139433
"151","creek",1281,0.0137046388223211,0.970035956851778
"152","adventure",1280,0.0136939404313591,0.969836196564123
"153","games",1276,0.0136511468675111,0.969636436276468
"154","calm",1259,0.0134692742211571,0.969436675988813
"155","player",1250,0.0133729887024991,0.969236915701159
"156","geology",1244,0.0133087983567271,0.969037155413504
"157","day",1243,0.0132980999657651,0.968837395125849
"158","daytime",1235,0.0132125128380692,0.968637634838194
"159","neighbourhood",1225,0.0131055289284492,0.968437874550539
"160","lighting",1224,0.0130948305374872,0.968238114262885
"161","sunlight",1217,0.0130199418007532,0.96803835397523
"162","photograph",1213,0.0129771482369052,0.967838593687575
"163","train",1201,0.0128487675453612,0.96763883339992
"164","biome",1200,0.0128380691543992,0.967439073112265
"165","sign",1191,0.0127417836357412,0.967239312824611
"166","highway",1181,0.0126347997261212,0.967039552536956
"167","wildflower",1164,0.0124529270797672,0.966839792249301
"168","sunrise",1163,0.0124422286888052,0.966640031961646
"169","sport venue",1159,0.0123994351249572,0.966440271673991
"170","signage",1157,0.0123780383430332,0.966240511386336
"171","roof",1111,0.0118859123587812,0.966040751098682
"172","headgear",1101,0.0117789284491612,0.965840990811027
"173","cuisine",1100,0.0117682300581992,0.965641230523372
"174","shrub",1096,0.0117254364943512,0.965441470235717
"175","glasses",1090,0.0116612461485793,0.965241709948062
"176","public space",1084,0.0115970558028073,0.965041949660407
"177","skin",1081,0.0115649606299213,0.964842189372753
"178","close up",1079,0.0115435638479973,0.96454254894127
"179","crowd",1079,0.0115435638479973,0.96454254894127
"180","male",1069,0.0114365799383773,0.964242908509788
"181","dog breed",1058,0.0113188976377953,0.964043148222133
"182","water transportation",1055,0.0112868024649093,0.963843387934479
"183","pink",1053,0.0112654056829853,0.963643627646824
"184","winter sport",1048,0.0112119137281753,0.963443867359169
"185","moth",1047,0.0112012153372133,0.963244107071514
"186","rolling stock",1028,0.0109979459089353,0.963044346783859
"187","town",1027,0.0109872475179733,0.962844586496205
"188","bridge",1020,0.0109123587812393,0.96264482620855
"189","man",1012,0.0108267716535433,0.962445065920895
"190","hill station",1003,0.0107304861348853,0.962145425489413
"191","shed",1003,0.0107304861348853,0.962145425489413
"192","facial expression",995,0.0106448990071893,0.961845785057931
"193","prairie",965,0.0103239472783293,0.961646024770276
"194","art",955,0.0102169633687093,0.961446264482621
"195","shrubland",948,0.0101420746319754,0.961246504194966
"196","landmark",947,0.0101313762410134,0.961046743907311
"197","red",945,0.0101099794590894,0.960846983619656
"198","piste",940,0.0100564875042794,0.960647223332002
"199","city",938,0.0100350907223554,0.960447463044347
"200","locomotive",926,0.00990671003081137,0.960247702756692
"201","promontory",920,0.00984251968503937,0.960047942469037
"202","team",919,0.00983182129407737,0.959848182181382
"203","temperate broadleaf and mixed forest",917,0.00981042451215337,0.959648421893728
"204","old growth forest",914,0.00977832933926737,0.959448661606073
"205","monochrome",913,0.00976763094830537,0.959248901318418
"206","yard",910,0.00973553577541938,0.959049141030763
